x,y
-0.082982,0.03847
-0.09503,0.090222
0.033026,0.010441
0.04286,0.026226
0.054437,0.046334
0.083292,0.07069
0.001661,-0.013619
-0.0044418,0.020909
3.6941e-06,0.051734
0.0032022,0.089475
0.025009,-0.026465
0.014019,-0.0054324
0.020149,0.001058
0.023463,-0.012633
0.035162,-0.025938
0.041459,-0.04909
0.037727,-0.076062
-0.018285,-0.016066
0.0038743,-0.062348
-0.021967,0.050697
0.043089,0.077296
0.0049563,-0.034067
-0.012617,-0.10217
-0.00044372,0.035529
0.042573,0.045828
0.070605,0.064527
0.019635,-0.019737
0.03429,0.0075728
0.034936,0.036759
0.029147,0.061203
0.025178,0.07533
0.013377,0.078289
0.010746,0.073961
0.003613,0.065393
-0.00088707,0.03585
0.0048954,-0.0041698
0.0092007,-0.067178
-0.038674,-0.041215
0.033565,-0.053388
0.016477,-0.089357
-0.07686,-0.023724
-0.074173,-0.050749
0.027797,0.069444
-0.010795,-0.084954
0.048285,-0.10309
0.01856,0.022959
0.036316,0.0082187
0.050368,0.0028881
0.061743,-0.0057089
0.052896,-0.020387
0.032516,-0.026672
0.0032315,-0.026565
-0.043001,-0.014465
-0.1075,0.0030671
-0.023947,0.014716
-0.065551,0.02992
-0.10325,0.058477
0.085138,0.0567
-0.078582,-0.027378
0.058316,-0.015863
0.078863,0.02289
-0.019779,-0.016777
-0.045561,-0.0092389
-0.06348,-0.0076358
0.016407,0.002618
0.0017502,0.030662
-0.026278,0.067458
-0.061158,0.10894
-0.034691,0.058915
-0.047098,0.12061
-0.0025698,0.040222
-0.056283,0.06774
-0.10031,0.083887
0.0641,0.013346
0.041372,0.041351
0.0057873,0.088251
-0.01355,-0.010188
-0.07219,0.0017507
-0.1327,0.010577
-0.01287,0.0031691
-0.09336,-0.0028463
-0.051793,0.071141
0.020364,-0.0089481
0.084079,0.017843
-0.083835,0.0022283
0.1109,0.012625
0.02956,0.021353
0.098005,0.047072
0.013607,0.011594
0.058127,0.040065
0.086579,0.074465
0.019214,0.024051
0.015909,0.038474
0.016938,0.041585
0.030281,0.039398
0.047465,0.04792
0.067252,0.070086
0.005158,-0.078464
0.04513,0.050282
0.053146,0.042275
0.055766,0.023873
0.049466,-0.0021075
0.029896,-0.03964
-0.00088832,-0.063006
0.0055309,0.007255
0.008035,-0.023602
0.010381,-0.06115
-0.0029917,-0.06867
-0.03647,-0.071745
0.043896,0.0069482
0.011496,-0.025853
-0.018055,-0.065356
-0.014286,-0.093875
0.019143,0.051907
0.040179,0.057725
0.039094,0.074327
0.023081,0.098535
-0.017224,-0.0045856
-0.023829,0.03102
-0.02727,0.059863
-0.037282,0.083186
0.013138,-0.0058948
-0.0028456,0.010061
-0.02895,0.02146
-0.051391,0.017679
-0.068327,0.0082807
-0.095635,-0.0038364
0.03996,-0.036419
0.035715,-0.014743
0.026405,0.0031458
0.0094175,0.02006
-0.0235,0.038935
-0.062478,0.036657
0.013638,-0.0083998
-0.0082735,-0.056324
